-37, -62, -20, 9
-49, -49, -19, 12
-53, -56, -18, 14
-40, -62, -19, 12
-33, -67, -21, 11
-39, -63, -19, 13
-53, -64, -17, 12
-42, -62, -18, 10
-35, -46, -16, 11
-52, -57, -17, 12
-55, -66, -18, 11
-49, -59, -18, 14
-42, -59, -18, 14
-43, -63, -19, 12
-35, -68, -20, 10
-34, -65, -17, 9
-47, -63, -18, 11
-36, -63, -20, 11
-34, -68, -19, 11
-45, -71, -20, 13
-37, -63, -20, 11
-39, -65, -19, 12
-53, -70, -19, 14
-54, -60, -18, 12
-46, -61, -18, 10
-43, -59, -18, 11
-44, -50, -17, 10
-41, -66, -20, 11
-46, -73, -21, 10
-64, -65, -20, 12
-59, -64, -19, 14
-46, -57, -17, 11
-48, -58, -18, 12
-41, -56, -20, 12
-41, -51, -19, 12
-45, -57, -19, 13
-44, -58, -18, 12
-44, -67, -22, 12
-39, -72, -22, 12
-51, -61, -16, 13
-48, -59, -18, 13
-45, -58, -19, 12
-56, -58, -19, 15
-43, -68, -20, 14
-40, -58, -17, 12
-49, -58, -16, 13
-42, -62, -17, 12
-41, -59, -19, 12
-45, -65, -20, 11
-40, -60, -19, 11
-46, -65, -20, 14
-38, -72, -20, 13
-38, -62, -19, 10
-47, -58, -18, 11
-41, -69, -21, 13
-45, -68, -21, 12
-46, -59, -19, 10
-46, -60, -19, 13
-41, -56, -18, 12
-50, -59, -20, 13
-58, -65, -20, 14
-40, -65, -20, 11
-37, -70, -20, 11
-48, -67, -19, 14
-53, -66, -20, 13
-52, -65, -19, 10
-53, -55, -17, 13
-41, -53, -19, 9
-38, -57, -19, 8
-46, -57, -18, 13
-43, -58, -20, 11
-49, -62, -19, 12
-46, -56, -19, 11
-47, -57, -20, 11
-49, -62, -20, 12
-40, -59, -18, 10
-43, -61, -19, 11
-46, -64, -21, 12
-49, -68, -21, 12
-48, -64, -21, 12
-46, -54, -18, 11
-50, -64, -20, 13
-47, -64, -22, 13
-47, -55, -17, 10
-51, -64, -19, 12
-54, -65, -18, 13
-54, -54, -16, 13
-44, -62, -21, 12
-45, -66, -21, 10
-51, -54, -19, 10
-48, -53, -19, 13
-51, -64, -19, 13
-41, -67, -20, 11
-47, -59, -20, 13
-54, -56, -21, 14
-42, -61, -19, 11
-42, -63, -18, 11
-47, -58, -20, 12
-54, -62, -21, 13
-53, -69, -20, 14
-52, -53, -18, 12
-46, -57, -20, 12
-46, -75, -20, 12
-47, -54, -18, 11
-43, -52, -21, 10
-50, -59, -21, 13
-40, -52, -20, 12
-35, -69, -20, 12
-52, -61, -18, 13
-57, -52, -17, 15
-40, -60, -19, 15
-37, -57, -20, 12
-39, -64, -19, 11
-32, -60, -20, 11
-35, -54, -21, 12
-41, -60, -18, 12
-44, -65, -21, 13
-43, -56, -22, 12
-42, -55, -20, 12
-43, -65, -22, 14
-49, -55, -19, 13
-52, -52, -17, 12
-48, -59, -22, 12
-53, -56, -19, 14
-45, -52, -17, 13
-36, -53, -20, 12
-44, -62, -18, 14
-43, -64, -17, 12
-50, -59, -20, 13
-58, -65, -20, 17
-49, -76, -20, 16
-50, -70, -19, 13
-37, -59, -18, 9
-41, -67, -18, 11
-57, -62, -19, 14
-35, -57, -20, 12
-35, -68, -20, 10
-44, -66, -20, 12
-42, -64, -19, 13
-39, -62, -20, 10
-37, -66, -20, 12
-52, -59, -20, 13
-49, -46, -20, 13
-43, -66, -19, 13
-48, -70, -21, 11
-42, -63, -19, 15
-37, -63, -17, 13
-43, -53, -21, 12
-52, -64, -19, 14
-52, -67, -20, 14
-43, -53, -21, 13
-31, -56, -18, 11
-43, -58, -17, 11
-49, -66, -20, 13
-42, -64, -22, 11
-48, -59, -19, 10
-47, -68, -18, 13
-46, -54, -19, 12
-45, -49, -19, 11
-41, -66, -19, 12
-43, -60, -19, 11
-46, -61, -19, 12
-50, -71, -21, 14
-41, -72, -23, 12
-37, -71, -22, 10
-42, -47, -18, 12
-47, -51, -18, 11
-50, -69, -20, 10
-42, -61, -18, 10
-45, -62, -20, 11
-51, -60, -21, 13
-38, -61, -19, 11
-40, -64, -20, 11
-47, -59, -19, 12
-35, -61, -19, 9
-36, -67, -22, 11
-46, -66, -19, 13
-37, -50, -18, 10
-34, -52, -17, 9
-46, -70, -19, 12
-47, -74, -21, 13
-47, -61, -19, 12
-45, -51, -19, 10
-49, -63, -18, 13
-58, -65, -17, 14
-42, -56, -20, 10
-45, -57, -22, 12
-48, -54, -20, 13
-34, -64, -20, 12
-41, -74, -22, 13
-42, -64, -22, 13
-46, -63, -20, 13
-48, -60, -19, 12
-44, -46, -18, 13
-48, -51, -16, 14
-35, -66, -20, 10
-37, -69, -22, 11
-48, -52, -18, 13
-39, -56, -20, 10
-45, -71, -22, 13
-50, -53, -21, 13
-44, -52, -19, 11
-47, -57, -18, 14
-42, -52, -18, 15
-41, -57, -19, 15
-38, -59, -19, 14
-40, -71, -21, 13
-53, -68, -21, 13
-45, -55, -20, 13
-49, -46, -19, 12
-57, -50, -20, 9
-56, -68, -20, 13
-47, -63, -20, 13
-36, -59, -20, 11
-43, -68, -20, 14
-33, -58, -19, 12
-45, -56, -20, 12
-49, -67, -20, 11
-41, -55, -16, 10
-59, -55, -21, 13
-44, -74, -23, 13
-37, -67, -21, 10
-43, -60, -20, 9
-41, -71, -21, 13
-44, -68, -22, 12
-41, -49, -19, 9
-42, -50, -20, 11
-39, -65, -22, 9
-43, -66, -19, 10
-46, -61, -19, 12
-43, -60, -19, 13
-46, -62, -21, 12
-41, -59, -20, 10
-47, -61, -19, 12
-50, -58, -21, 11
-50, -51, -19, 11
-60, -65, -21, 14
-56, -65, -20, 13
-42, -60, -19, 10
-41, -66, -20, 11
-46, -60, -18, 11
-50, -65, -22, 11
-48, -69, -23, 12
-42, -60, -20, 13
-41, -60, -20, 12
-42, -61, -19, 12
-51, -62, -20, 13
-51, -60, -22, 12
-46, -57, -22, 11
-48, -59, -22, 12
-41, -59, -23, 11
-34, -61, -20, 10
-45, -66, -20, 13
-46, -61, -21, 14
-44, -52, -17, 14
-44, -66, -20, 13
-34, -64, -24, 10
-42, -55, -20, 12
-46, -58, -18, 12
-35, -54, -18, 11
-43, -58, -18, 15
-61, -64, -21, 14
-54, -63, -21, 15
-38, -47, -19, 13
-40, -58, -21, 10
-49, -79, -22, 12
-51, -65, -20, 12
-48, -73, -22, 12
-43, -75, -22, 16
-40, -56, -22, 14
-46, -52, -22, 12
-50, -57, -20, 14
-46, -67, -20, 14
-51, -67, -22, 11
-56, -62, -22, 11
-50, -55, -21, 12
-45, -57, -22, 10
-42, -60, -22, 11
-37, -58, -20, 12
-38, -69, -21, 11
-41, -53, -19, 14
-46, -53, -21, 13
-52, -66, -22, 11
-38, -48, -20, 10
-44, -62, -21, 13
-47, -67, -19, 14
-35, -55, -19, 11
-50, -64, -21, 13
-50, -62, -20, 12
-42, -68, -20, 11
-48, -62, -20, 11
-42, -59, -20, 13
-25, -80, -20, 12
-27, -70, -20, 8
-47, -56, -20, 10
-46, -67, -19, 11
-44, -63, -18, 9
-49, -54, -18, 10
-40, -59, -20, 10
-41, -58, -19, 10
-45, -65, -19, 10
-39, -63, -19, 10
-41, -43, -17, 11
-41, -53, -16, 13
-41, -54, -16, 11
-47, -44, -17, 12
-43, -73, -21, 14
-42, -71, -19, 11
-47, -43, -15, 11
-51, -67, -18, 11
-49, -68, -18, 12
-38, -52, -16, 12
-40, -66, -18, 12
-50, -57, -17, 13
-45, -55, -17, 11
-48, -65, -19, 12
-51, -53, -18, 12
-41, -49, -18, 10
-40, -51, -19, 10
-44, -60, -17, 10
-47, -63, -19, 10
-42, -57, -20, 11
-39, -60, -18, 13
-43, -54, -16, 12
-42, -53, -20, 10
-43, -58, -21, 11
-41, -63, -18, 9
-44, -60, -20, 10
-45, -57, -19, 14
-35, -63, -19, 12
-45, -60, -21, 12
-54, -64, -20, 14
-48, -64, -20, 12
-58, -54, -18, 13
-55, -49, -15, 13
-36, -50, -20, 11
-44, -59, -19, 12
-50, -59, -18, 14
-36, -56, -20, 11
-37, -60, -17, 10
-46, -66, -18, 15
-47, -60, -17, 12
-53, -52, -15, 11
-48, -60, -18, 11
-39, -54, -16, 10
-45, -49, -16, 11
-48, -53, -19, 12
-38, -57, -18, 10
-37, -66, -20, 9
-51, -60, -19, 12
-48, -60, -19, 13
-42, -61, -20, 13
-51, -60, -20, 11
-51, -62, -20, 12
-54, -56, -19, 13
-52, -55, -18, 10
-42, -58, -18, 14
-44, -62, -17, 15
-39, -54, -18, 12
-38, -55, -20, 12
-35, -67, -20, 11
-41, -59, -19, 12
-57, -61, -20, 13
-40, -66, -23, 11
-40, -56, -22, 12
-51, -54, -18, 10
-40, -65, -21, 11
-48, -72, -20, 14
-48, -69, -19, 12
-39, -72, -21, 11
-44, -55, -18, 13
-40, -50, -19, 11
-36, -65, -20, 9
-35, -57, -20, 10
-37, -50, -20, 9
-50, -52, -20, 11
-44, -58, -20, 12
-31, -56, -18, 9
-42, -59, -18, 11
-47, -58, -19, 13
-43, -57, -18, 12
-45, -61, -18, 13
-49, -55, -19, 10
-45, -67, -20, 8
-42, -65, -19, 10
-40, -42, -19, 10
-31, -56, -21, 11
-35, -62, -22, 11
-52, -53, -20, 11
-54, -59, -18, 11
-42, -58, -17, 9
-45, -58, -21, 11
-48, -63, -20, 11
-49, -61, -18, 11
-46, -56, -18, 12
-38, -54, -16, 10
-45, -55, -18, 11
-46, -53, -20, 9
-48, -58, -19, 9
-43, -63, -19, 11
-29, -66, -19, 9
-39, -61, -20, 9
-40, -56, -20, 9
-37, -62, -19, 10
-56, -62, -18, 10
-50, -63, -19, 11
-41, -60, -18, 11
-45, -60, -19, 10
-38, -62, -18, 11
-41, -60, -16, 9
-41, -69, -18, 9
-43, -74, -19, 9
-57, -70, -19, 11
-50, -64, -17, 12
-39, -63, -18, 12
-51, -61, -19, 11
-48, -56, -16, 9
-42, -62, -20, 12
-43, -63, -20, 12
-44, -56, -18, 11
-54, -60, -19, 12
-50, -64, -19, 11
-38, -58, -20, 11
-43, -64, -20, 14
-45, -63, -16, 12
-47, -59, -18, 12
-48, -64, -21, 13
-39, -55, -17, 8
-41, -63, -20, 10
-45, -63, -21, 11
-48, -51, -18, 10
-41, -61, -21, 11
-37, -63, -20, 10
-43, -61, -20, 11
-42, -55, -20, 12
-38, -53, -19, 12
-32, -68, -21, 10
-40, -60, -19, 11
-39, -63, -23, 9
-41, -67, -22, 9
-52, -53, -20, 12
-40, -66, -22, 10
-42, -58, -21, 10
-44, -56, -21, 14
-37, -67, -19, 14
-48, -52, -18, 11
-49, -60, -20, 12
-42, -65, -19, 13
-52, -61, -18, 13
-46, -58, -18, 13
-41, -50, -19, 14
-43, -57, -20, 13
-37, -59, -20, 12
-44, -58, -19, 12
-35, -65, -20, 11
-40, -57, -19, 12
-44, -55, -17, 10
-29, -62, -18, 10
-44, -62, -20, 12
-45, -56, -19, 11
-39, -55, -19, 9
-40, -58, -20, 9
-38, -47, -18, 11
-47, -53, -18, 12
-46, -66, -19, 14
-43, -67, -22, 14
-40, -69, -24, 12
-44, -59, -20, 12
-45, -54, -17, 9
-41, -57, -18, 12
-52, -66, -20, 14
-42, -60, -19, 11
-34, -43, -15, 14
-50, -56, -17, 14
-46, -64, -19, 12
-38, -59, -18, 12
-50, -66, -20, 12
-49, -60, -20, 12
-41, -58, -19, 11
-45, -76, -20, 12
-41, -73, -20, 12
-39, -53, -20, 11
-47, -54, -18, 14
-42, -63, -19, 13
-37, -58, -19, 12
-45, -64, -20, 13
-43, -65, -20, 11
-36, -54, -18, 11
-39, -65, -21, 14
-45, -57, -20, 14
-44, -40, -16, 12
-39, -48, -19, 12
-34, -58, -21, 12
-37, -52, -18, 11
-46, -47, -19, 11
-41, -60, -19, 12
-44, -65, -18, 13
-45, -65, -17, 12
-30, -61, -17, 11
-37, -46, -18, 10
-46, -44, -17, 9
-37, -53, -19, 10
-38, -56, -20, 10
-39, -48, -18, 10
-36, -61, -20, 12
-34, -71, -20, 11
-41, -55, -20, 10
-45, -55, -19, 11
-40, -56, -16, 11
-46, -58, -18, 10
-50, -64, -19, 12
-46, -55, -18, 12
-38, -50, -18, 13
-40, -62, -20, 12
-43, -72, -20, 10
-44, -56, -18, 10
-52, -44, -18, 11
-42, -49, -20, 11
-45, -58, -20, 11
-47, -67, -20, 11
-36, -57, -19, 11
-53, -56, -18, 13
-52, -67, -20, 13
-37, -64, -22, 10
-43, -60, -19, 9
-40, -60, -18, 9
-40, -56, -17, 10
-38, -55, -18, 10
-37, -61, -20, 11
-46, -57, -18, 13
-38, -61, -19, 10
-35, -65, -22, 9
-38, -68, -22, 11
-43, -76, -23, 10
-46, -61, -21, 9
-39, -56, -18, 9
-32, -67, -19, 8
-44, -58, -19, 10
-56, -53, -17, 11
-42, -61, -17, 9
-43, -57, -19, 11
-46, -58, -19, 11
-40, -63, -20, 11
-36, -54, -21, 10
-40, -57, -19, 10
-46, -61, -19, 13
-38, -52, -18, 10
-48, -55, -20, 11
-45, -61, -22, 12
-42, -57, -19, 10
-46, -55, -18, 11
-40, -59, -19, 10
-53, -65, -20, 13
-47, -59, -21, 13
-43, -53, -20, 11
-39, -67, -20, 12
-38, -66, -20, 9
-54, -54, -19, 12
-45, -62, -19, 14
-41, -53, -17, 11
-40, -49, -18, 10
-43, -62, -19, 11
-40, -56, -16, 12
-34, -60, -17, 12
-40, -64, -18, 12
-41, -62, -17, 11
-50, -59, -17, 10
-53, -55, -18, 12
-48, -55, -18, 12
-40, -61, -18, 10
-36, -65, -18, 8
-53, -63, -20, 10
-48, -57, -18, 13
-40, -53, -17, 12
-47, -63, -21, 12
-41, -67, -21, 14
-42, -61, -16, 14
-49, -56, -17, 12
-49, -56, -19, 12
-45, -55, -19, 12
-44, -53, -20, 11
-39, -60, -19, 9
-37, -54, -18, 10
-56, -56, -19, 14
-48, -63, -21, 11
-34, -58, -20, 8
-48, -65, -20, 10
-54, -61, -22, 10
-39, -48, -19, 10
-32, -58, -18, 11
-47, -61, -21, 11
-49, -52, -21, 12
-47, -59, -19, 12
-51, -61, -18, 12
-43, -55, -19, 11
-44, -54, -18, 11
-45, -56, -17, 11
-40, -56, -19, 12
-29, -60, -20, 9
-28, -65, -19, 9
-40, -57, -19, 12
-36, -58, -18, 10
-40, -61, -19, 10
-40, -56, -17, 10
-33, -60, -19, 11
-47, -58, -21, 12
-35, -53, -18, 8
-30, -53, -19, 9
-49, -63, -22, 10
-38, -65, -21, 9
-38, -52, -16, 12
-47, -59, -19, 11
-46, -61, -19, 14
-43, -52, -15, 13
-44, -57, -17, 10
-51, -52, -16, 13
-36, -55, -18, 10
-39, -59, -21, 11
-48, -57, -16, 12
-41, -56, -16, 11
-44, -47, -17, 12
-43, -53, -16, 8
-43, -66, -18, 8
-48, -65, -19, 12
-47, -62, -19, 10
-40, -59, -19, 9
-41, -60, -18, 9
-51, -59, -18, 11
-43, -55, -17, 11
-29, -57, -18, 9
-33, -63, -20, 9
-38, -65, -20, 11
-35, -56, -19, 9
-40, -60, -18, 10
-37, -69, -19, 11
-42, -57, -19, 11
-49, -50, -16, 13
-35, -55, -15, 11
-33, -63, -19, 11
-41, -65, -21, 13
-38, -62, -20, 10
-45, -59, -20, 11
-49, -56, -17, 12
-39, -55, -19, 10
-35, -54, -18, 11
-33, -49, -18, 9
-41, -57, -19, 11
-45, -55, -18, 13
-41, -49, -18, 12
-43, -61, -18, 12
-35, -46, -15, 10
-37, -39, -17, 11
-49, -55, -21, 14
-49, -54, -18, 12
-32, -57, -17, 10
-30, -60, -20, 13
-45, -46, -22, 15
-42, -56, -19, 12
-41, -65, -18, 12
-48, -54, -18, 13
-40, -58, -18, 12
-32, -51, -19, 12
-35, -54, -17, 11
-41, -61, -19, 12
-43, -54, -20, 14
-39, -59, -17, 13
-37, -52, -20, 13
-37, -60, -20, 12
-42, -63, -18, 11
-42, -46, -18, 12
-42, -56, -18, 13
-51, -63, -20, 13
-42, -61, -21, 12
-30, -59, -20, 12
-35, -57, -17, 12
-40, -62, -19, 14
-42, -58, -20, 14
-36, -54, -20, 12
-37, -53, -20, 13
-53, -62, -17, 14
-46, -60, -18, 12
-41, -50, -18, 10
-40, -61, -19, 10
-41, -60, -19, 11
-47, -55, -18, 11
-44, -60, -22, 11
-44, -61, -21, 13
-38, -64, -20, 14
-36, -56, -19, 11
-41, -57, -18, 11
-47, -54, -19, 15
-44, -50, -19, 13
-34, -68, -18, 10
-42, -58, -16, 12
-44, -56, -17, 12
-40, -60, -19, 12
-43, -51, -17, 13
-43, -65, -17, 15
-49, -69, -20, 14
-48, -58, -19, 14
-49, -57, -16, 14
-50, -62, -20, 12
-37, -61, -20, 12
-40, -56, -19, 14
-44, -57, -20, 13
-41, -54, -18, 12
-53, -54, -15, 12
-43, -52, -15, 12
-31, -49, -17, 12
-39, -54, -18, 11
-39, -49, -17, 12
-41, -51, -18, 11
-40, -63, -20, 9
-40, -65, -20, 10
-44, -61, -14, 9
-40, -54, -17, 8
-42, -52, -19, 10
-45, -61, -17, 11
-44, -55, -18, 12
-52, -43, -17, 12
-51, -52, -18, 12
-28, -64, -21, 10
-26, -67, -19, 9
-48, -57, -16, 11
-41, -55, -16, 10
-34, -62, -18, 9
-48, -54, -17, 11
-48, -56, -17, 11
-41, -63, -19, 11
-38, -56, -18, 12
-36, -55, -19, 11
-43, -56, -19, 10
-43, -54, -18, 11
-34, -53, -19, 11
-39, -56, -19, 11
-38, -64, -16, 9
-41, -65, -20, 11
-47, -51, -21, 13
-42, -47, -16, 11
-47, -56, -17, 10
-41, -54, -20, 9
-43, -58, -21, 10
-49, -68, -20, 11
-39, -63, -20, 12
-39, -52, -19, 13
-41, -59, -19, 10
-45, -71, -20, 13
-38, -54, -19, 12
-41, -52, -18, 12
-44, -73, -22, 14
-42, -61, -20, 10
-48, -46, -17, 11
-40, -57, -21, 13
-49, -53, -16, 12
-47, -55, -16, 11
-32, -65, -19, 12
-39, -60, -17, 12
-38, -53, -20, 13
-36, -41, -17, 13
-37, -48, -16, 11
-43, -61, -20, 11
-51, -54, -17, 12
-40, -65, -20, 12
-33, -61, -19, 13
-41, -55, -17, 13
-43, -59, -18, 13
-44, -53, -17, 12
-42, -61, -19, 11
-42, -60, -19, 12
-50, -57, -17, 11
-43, -59, -18, 9
-34, -54, -16, 12
-37, -47, -16, 10
-39, -49, -16, 9
-41, -55, -18, 13
-46, -53, -18, 10
-40, -62, -17, 9
-33, -60, -19, 10
-37, -50, -17, 10
-36, -43, -15, 10
-34, -51, -17, 9
-42, -61, -16, 12
-40, -53, -19, 11
-41, -58, -18, 10
-48, -64, -17, 12
-35, -58, -20, 10
-36, -52, -16, 10
-44, -57, -17, 8
-37, -57, -18, 9
-36, -52, -16, 11
-36, -57, -17, 9
-43, -54, -16, 13
-48, -56, -18, 13
-45, -52, -17, 10
-49, -46, -16, 11
-46, -64, -18, 11
-38, -64, -18, 11
-40, -56, -17, 11
-38, -66, -18, 10
-34, -54, -18, 12
-35, -45, -18, 12
-36, -55, -17, 10
-42, -58, -19, 12
-41, -57, -20, 12
-29, -59, -18, 8
-39, -57, -19, 9
-44, -59, -19, 11
-32, -61, -18, 11
-39, -60, -16, 13
-43, -62, -18, 12
-39, -56, -19, 12
-41, -51, -15, 13
-40, -55, -17, 13
-39, -56, -18, 11
-41, -52, -18, 9
-40, -53, -17, 9
-39, -57, -17, 9
-44, -49, -19, 10
-40, -49, -17, 10
-30, -61, -19, 10
-35, -56, -18, 12
-38, -56, -19, 12
-43, -61, -20, 13
-50, -57, -17, 12
-42, -59, -21, 12
-36, -58, -18, 10
-39, -59, -18, 9
-47, -57, -19, 12
-48, -50, -17, 12
-39, -62, -21, 12
-37, -57, -18, 11
-34, -52, -18, 9
-43, -58, -20, 12
-48, -47, -17, 12
-32, -52, -19, 9
-40, -64, -19, 9
-46, -62, -18, 11
-35, -60, -19, 9
-50, -58, -18, 8
-46, -63, -21, 12
-30, -61, -21, 12
-33, -53, -18, 8
-34, -62, -20, 10
-39, -66, -22, 12
-40, -62, -21, 10
-43, -56, -21, 9
-44, -50, -18, 10
-34, -61, -18, 11
-39, -67, -21, 11
-47, -65, -18, 14
-49, -56, -17, 12
-39, -53, -19, 9
-31, -61, -18, 12
-44, -57, -17, 13
-48, -62, -19, 12
-41, -67, -20, 13
-42, -48, -16, 12
-45, -50, -17, 11
-42, -65, -16, 13
-40, -58, -15, 11
-46, -54, -17, 11
-48, -64, -16, 14
-42, -63, -19, 11
-40, -58, -20, 10
-41, -58, -18, 11
-44, -52, -21, 11
-38, -63, -21, 11
-39, -70, -21, 9
-51, -49, -19, 11
-41, -55, -18, 10
-35, -66, -21, 9
-48, -56, -19, 11
-51, -55, -18, 10
-40, -57, -18, 12
-44, -61, -19, 12
-43, -59, -19, 10
-35, -52, -18, 11
-48, -54, -18, 12
-53, -52, -15, 13
-38, -56, -16, 13
-30, -57, -19, 12
-46, -59, -20, 11
-46, -71, -20, 12
-31, -60, -18, 12
-40, -53, -19, 8
-41, -64, -20, 11
-38, -56, -17, 12
-41, -51, -17, 8
-49, -64, -18, 12
-41, -60, -17, 11
-31, -63, -19, 11
-56, -59, -16, 14
-49, -54, -17, 12
-45, -59, -20, 15
-55, -49, -17, 14
-38, -58, -18, 11
-49, -66, -16, 14
-45, -60, -18, 12
-35, -60, -20, 12
-50, -57, -19, 14
-55, -57, -19, 11
-48, -64, -17, 13
-38, -67, -18, 11
-47, -65, -20, 10
-47, -66, -20, 10
-39, -56, -18, 8
-39, -54, -18, 11
-37, -61, -19, 11
-42, -55, -17, 11
-42, -56, -17, 12
-39, -53, -16, 10
-46, -53, -16, 10
-45, -59, -19, 9
-37, -54, -16, 10
-46, -55, -14, 12
-44, -66, -18, 10
-35, -56, -18, 9
-39, -46, -16, 10
-38, -63, -18, 9
-41, -60, -17, 10
-39, -53, -17, 12
-32, -65, -20, 11
-41, -59, -19, 10
-49, -54, -18, 11
-36, -59, -17, 11
-28, -65, -18, 9
-37, -64, -19, 10
-36, -46, -18, 9
-40, -46, -18, 9
-44, -52, -16, 11
-39, -43, -15, 11
-42, -43, -15, 12
-44, -50, -15, 12
-43, -58, -18, 11
-38, -61, -17, 12
-35, -58, -18, 13
-42, -55, -16, 10
-39, -56, -15, 10
-37, -59, -17, 13
-40, -53, -16, 11
-37, -51, -16, 8
-36, -56, -19, 11
-41, -62, -20, 13
-46, -56, -16, 12
-41, -53, -17, 11
-40, -64, -21, 12
-44, -51, -18, 12
-34, -49, -17, 9
-36, -62, -19, 9
-40, -51, -18, 8
-32, -41, -15, 8
-44, -50, -16, 11
-43, -58, -18, 11
-25, -58, -17, 11
-35, -54, -17, 12
-38, -52, -17, 11
-23, -65, -19, 12
-33, -59, -18, 11
-50, -53, -18, 10
-41, -57, -19, 10
-43, -46, -17, 12
-42, -57, -17, 10
-40, -59, -18, 7
-49, -43, -17, 10
-40, -61, -18, 11
-44, -60, -17, 11
-44, -49, -17, 10
-39, -62, -20, 10
-36, -56, -19, 12
-23, -57, -16, 8
-47, -62, -19, 11
-49, -54, -19, 11
-38, -58, -15, 9
-48, -61, -17, 12
-38, -61, -18, 11
-38, -55, -15, 11
-41, -58, -15, 10
-37, -57, -17, 8
-40, -48, -18, 9
-42, -62, -20, 11
-44, -61, -19, 10
-38, -52, -17, 7
-36, -54, -18, 8
-38, -52, -17, 9
-38, -52, -16, 12
-48, -48, -17, 13
-41, -51, -18, 8
-33, -51, -17, 10
-39, -50, -18, 13
-31, -58, -17, 8
-35, -58, -19, 11
-39, -50, -21, 12
-40, -46, -16, 9
-48, -58, -17, 13
-41, -55, -17, 11
-43, -54, -15, 9
-41, -61, -17, 10
-33, -56, -18, 9
-36, -58, -17, 9
-40, -62, -16, 10
-40, -69, -18, 11
-36, -61, -18, 12
-36, -47, -15, 9
-42, -54, -18, 10
-47, -62, -20, 13
-44, -62, -18, 12
-38, -57, -18, 11
-43, -45, -17, 10
-44, -50, -15, 11
-41, -56, -16, 13
-38, -54, -17, 10
-30, -72, -18, 11
-27, -67, -21, 10
-27, -53, -19, 8
-33, -58, -18, 10
-45, -57, -19, 9
-42, -58, -18, 10
-40, -55, -19, 12
-44, -58, -18, 10
-39, -59, -19, 11
